STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1992,,32.742608,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1992,,39.217425,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1992,,70.799665,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1992,,75.004661,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1992,,47.766894,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1992,,49.384037,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,29.156919,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,30.692501,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,36.460144,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,50.313361,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,53.247397,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1991,,75.201805,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1991,,84.595277,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1991,,99.689045,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1991,,74.363041,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,11.363776,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,39.191431,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,32.274529,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1991,,37.827547,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,47.94876,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,49.843589,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,COL,Colombia,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,9.932996,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1993,,59.305091,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1993,,76.3106,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,43.074685,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,40.461364,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,19.17833,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1993,,39.205668,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,44.336274,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,41.442514,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,18.823015,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,39.985071,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CRI,Costa Rica,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1994,,64.034478,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ESP,Spain,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1994,,85.641666,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1994,,69.609837,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,47.217582,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1994,,48.470113,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israel,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,47.481042,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,60.481922,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,77.694524,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,70.625577,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,103.376935,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,116.57385,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,99.755927,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,106.460679,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,108.038487,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,2022,,106.071557,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,27.121526,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,65.788966,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,74.283831,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,2022,,72.922175,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,48.138995,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,49.907066,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,COL,Colombia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,80.983077,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LTU,Lithuania,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,42.141215,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israel,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,75.880615,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,70.185526,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,79.38483,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,89.489188,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1995,,80.420834,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,16.48383,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,53.830722,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,29.971554,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,51.390581,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1995,,23.555989,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israel,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,32.10306,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,47.536681,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,59.777296,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,70.147967,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,53.570716,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,42.8941,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,86.053094,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,79.92947,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,HUN,Hungary,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,65.56304,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,93.596924,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,62.028377,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,81.054584,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUT,Austria,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1998,,79.645085,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,33.739451,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,41.15579,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,58.006556,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1998,,61.321192,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,POL,Poland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,17.156022,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,54.029715,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GRC,Greece,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,31.025223,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,52.255597,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CZE,Czechia,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,24.464831,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1996,,63.74767,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1996,,81.964045,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NLD,Netherlands,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1996,,79.651125,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DEU,Germany,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1996,,81.172291,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,IRL,Ireland,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1996,,47.998333,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,23.850784,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,20.198218,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,18.748189,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1996,,89.521784,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,34.132083,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISL,Iceland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,41.74796,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,58.597376,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,62.591788,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LVA,Latvia,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,45.922338,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,56.628198,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,PRT,Portugal,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,85.19183,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ITA,Italy,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,96.351086,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,MEX,Mexico,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,97.141225,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,LUX,Luxembourg,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,96.512311,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,BEL,Belgium,GDPHRWKD,GDP per hour worked,TOT,Total,IDX2015,2015=100,A,Annual,1999,,87.413018,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVN,Slovenia,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,30.282513,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHL,Chile,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,17.275304,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,37.939032,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1999,,49.182815,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,USA,United States,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1997,,50.386032,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TUR,Türkiye,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1997,,25.824555,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SVK,Slovak Republic,GDPHRWKD,GDP per hour worked,TOT,Total,USD,US dollars,A,Annual,1997,,21.495784,,A,,,,,,,
