bed_size,date,rent
2br,2024-05-01,1390.0
overall,2024-06-01,1410.0
1br,2024-06-01,1239.0
2br,2024-06-01,1396.0
overall,2024-07-01,1413.0
1br,2024-07-01,1242.0
2br,2024-07-01,1399.0
overall,2024-08-01,1412.0
1br,2024-08-01,1240.0
2br,2024-08-01,1397.0
overall,2024-09-01,1404.0
1br,2024-09-01,1234.0
2br,2024-09-01,1390.0
overall,2024-10-01,1394.0
1br,2024-10-01,1225.0
2br,2024-10-01,1380.0
